RowIn	ColumnIn	Result
0.568823660872193	0.259870402850654	0.780252068321138
0.469390641058206	0.800068480224308	0.389738836961253
0.0119020695012414	0.431413827463545	0.241691285913833
0.337122644398882	0.910647594429523	0.403912145588115
0.162182308193243	0.181847028302852	0.0964545251683886
0.794284540683907	0.26380291652199	0.131973292606335
0.311215042044805	0.145538980384717	0.942050590775485
0.528533135506213	0.136068558708664	0.956134540229802
0.165648729499781	0.869292207640089	0.575208595078466
0.601981941401637	0.57970458736557	0.0597795429471558
0.262971284540144	0.549860201836332	0.234779913372406
0.654079098476782	0.144954798223727	0.353158571222071
0.689214503140008	0.853031117721894	0.821194040197959
0.748151592823709	0.622055131485066	0.0154034376515551
0.450541598502498	0.350952380892271	0.0430238016578078
0.0838213779969326	0.513249539867053	0.168990029462704
0.228976968716819	0.401808033751942	0.649115474956452
0.91333736150167	0.0759666916908419	0.73172238565867
0.152378018969223	0.239916153553658	0.647745963136307
0.825816977489547	0.123318934835166	0.450923706430945
0.538342435260057	0.183907788282417	0.547008892286345
0.996134716626885	0.239952525664903	0.296320805607773
0.0781755287531837	0.41726706908437	0.744692807074156
0.442678269775446	0.0496544303257421	0.188955015032545
0.106652770180584	0.902716109915281	0.686775433365315
0.961898080855054	0.944787189721646	0.18351115573727
0.00463422413406744	0.49086409246808	0.368484596490336
0.774910464711502	0.489252638400019	0.62561856072969
0.817303220653433	0.337719409821377	0.780227435151377
0.86869470536351	0.900053846417662	0.0811257688657853
0.0844358455109103	0.369246781120215	0.92938597096873
0.399782649098896	0.111202755293787	0.775712678608402
